song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love,Simian Mobile Disco,0.663,0.918,11,-4.732,0,0.0619,0.000177,0.00431,0.278,0.503,134.254,audio_features,0pwtfMiQ355EOetR7PNP60,spotify:track:0pwtfMiQ355EOetR7PNP60,https://api.spotify.com/v1/tracks/0pwtfMiQ355EOetR7PNP60,https://api.spotify.com/v1/audio-analysis/0pwtfMiQ355EOetR7PNP60,179720,4
Rollercoaster Ride,The Whitest Boy Alive,0.753,0.304,2,-9.859,0,0.0516,0.592,0.078,0.108,0.377,75.52,audio_features,7hejG1JwFh3NsfUze7KaJ9,spotify:track:7hejG1JwFh3NsfUze7KaJ9,https://api.spotify.com/v1/tracks/7hejG1JwFh3NsfUze7KaJ9,https://api.spotify.com/v1/audio-analysis/7hejG1JwFh3NsfUze7KaJ9,159880,4
Gitana,Willie Colon,0.479,0.593,11,-6.629,0,0.0502,0.635,2.61e-06,0.216,0.805,86.092,audio_features,4VTb5wB46sZDsfL8XgroGt,spotify:track:4VTb5wB46sZDsfL8XgroGt,https://api.spotify.com/v1/tracks/4VTb5wB46sZDsfL8XgroGt,https://api.spotify.com/v1/audio-analysis/4VTb5wB46sZDsfL8XgroGt,414267,4
Glitter In The Air,P!nk,0.514,0.255,5,-12.037,1,0.0283,0.898,0.000235,0.0994,0.298,99.851,audio_features,1M6dQ8MZQnYxjH8yZzswQt,spotify:track:1M6dQ8MZQnYxjH8yZzswQt,https://api.spotify.com/v1/tracks/1M6dQ8MZQnYxjH8yZzswQt,https://api.spotify.com/v1/audio-analysis/1M6dQ8MZQnYxjH8yZzswQt,227813,4
Flagpole Sitta,Harvey Danger,0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000263,0.286,0.482,144.97,audio_features,7cz70nyRXlCJOE85whEkgU,spotify:track:7cz70nyRXlCJOE85whEkgU,https://api.spotify.com/v1/tracks/7cz70nyRXlCJOE85whEkgU,https://api.spotify.com/v1/audio-analysis/7cz70nyRXlCJOE85whEkgU,217267,4
Do You Remember,Jack Johnson,0.598,0.289,2,-11.405,1,0.0334,0.762,8.17e-05,0.262,0.714,92.035,audio_features,1EZJBB6bvCcrvYRlOyoHuf,spotify:track:1EZJBB6bvCcrvYRlOyoHuf,https://api.spotify.com/v1/tracks/1EZJBB6bvCcrvYRlOyoHuf,https://api.spotify.com/v1/audio-analysis/1EZJBB6bvCcrvYRlOyoHuf,144013,4
Fools,The Temper Trap,0.562,0.492,2,-8.888,1,0.0303,0.12,0.785,0.0895,0.0749,128.018,audio_features,7zOBJFmezyMr5YQklSHrVZ,spotify:track:7zOBJFmezyMr5YQklSHrVZ,https://api.spotify.com/v1/tracks/7zOBJFmezyMr5YQklSHrVZ,https://api.spotify.com/v1/audio-analysis/7zOBJFmezyMr5YQklSHrVZ,272813,4
Maybe,N.E.R.D.,0.535,0.769,2,-4.672,1,0.0373,0.0627,2.29e-06,0.135,0.618,154.124,audio_features,3nrGG3qYHIhjnHOx1lnMNx,spotify:track:3nrGG3qYHIhjnHOx1lnMNx,https://api.spotify.com/v1/tracks/3nrGG3qYHIhjnHOx1lnMNx,https://api.spotify.com/v1/audio-analysis/3nrGG3qYHIhjnHOx1lnMNx,263133,4
Tiger Mountain Peasant Song,Fleet Foxes,0.645,0.132,6,-12.635,1,0.0327,0.927,0.00143,0.0845,0.257,131.011,audio_features,74TdnqQ0JlIcHBwdSAATiw,spotify:track:74TdnqQ0JlIcHBwdSAATiw,https://api.spotify.com/v1/tracks/74TdnqQ0JlIcHBwdSAATiw,https://api.spotify.com/v1/audio-analysis/74TdnqQ0JlIcHBwdSAATiw,208973,3
Ready Or Not,The Fugees,0.568,0.659,10,-12.04,0,0.0336,0.299,0.815,0.164,0.507,90.001,audio_features,34AHuj5l34drtMXLoXFCwW,spotify:track:34AHuj5l34drtMXLoXFCwW,https://api.spotify.com/v1/tracks/34AHuj5l34drtMXLoXFCwW,https://api.spotify.com/v1/audio-analysis/34AHuj5l34drtMXLoXFCwW,226666,4
