song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
Super Freaky Girl,Nicki Minaj,0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4C6Uex2ILwJi9sZXRdmqXp,170977,H,4
As It Was,Harry Styles,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,H,0
About Damn Time,Lizzo,0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822,H,7
Break My Soul,Beyonce,0.687,0.887,-5.04,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,2KukL7UlQ8TdvpaA7bY3ZJ,278282,H,7
Running Up That Hill (A Deal With God),Kate Bush,0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,29d0nY7TzCoi22XBqDQkiP,300840,H,1
Bad Habit,Steve Lacy,0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115,H,7
Late Night Talking,Harry Styles,0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,H,7
First Class,Jack Harlow,0.905,0.563,-6.135,0.102,0.0254,9.71e-06,0.113,0.324,106.998,1rDQ4oMwGJI7B4tovsBOxc,173948,H,7
Heat Waves,Glass Animals,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,238805,H,7
The Kind Of Love We Make,Luke Combs,0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,28n8z9IQKyjMPxmvYMBqZa,224427,H,8
You Proof,Morgan Wallen,0.731,0.85,-4.913,0.0336,0.252,0.0,0.605,0.644,119.706,5uU1uuyaUIBOiiUSQG7Wl3,157478,H,2
Titi Me Pregunto,Bad Bunny,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717,H,4
I Ain't Worried,OneRepublic,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486,H,7
She Had Me At Heads Carolina,Cole Swindell,0.607,0.912,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,200x8ONbPfFzByUr3fVz46,206107,H,7
Wasted On You,Morgan Wallen,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.126,0.252,196.0,3cBsEDNhFI9E82vPj3kvi3,178520,H,0
Alone,Rod Wave,0.596,0.545,-6.911,0.0368,0.703,0.0,0.0811,0.0923,82.07,5ie5OPdaP9fivYaKcjwKF1,191159,H,1
Big Energy,Latto,0.935,0.807,-3.838,0.114,0.0514,0.0,0.349,0.813,106.017,6Zu3aw7FfjAF9WA0fA81Oq,173182,H,7
Vegas,Doja Cat,0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907,H,4
Moscow Mule,Bad Bunny,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940,H,8
Glimpse Of Us,Joji,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456,H,1
Ghost,Justin Bieber,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190,H,0
Like I Love Country Music,Kane Brown,0.542,0.82,-6.073,0.0432,0.000682,0.000136,0.0561,0.702,124.85,3j1xkzTW8owIphkWV51V9s,234341,H,7
Shivers,Ed Sheeran,0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,207853,H,7
Fall In Love,Bailey Zimmerman,0.524,0.643,-6.055,0.0297,0.451,0.0,0.221,0.397,135.962,5gVCfYmQRPy1QJifP8f5gg,232059,H,8
5 Foot 9,Tyler Hubbard,0.602,0.796,-5.609,0.0465,0.146,0.0,0.125,0.53,106.005,6AqwH2Y9FJwhUE2dCSkw1u,189780,H,8
Numb Little Bug,Em Beihold,0.742,0.527,-6.892,0.0769,0.327,0.0,0.25,0.638,84.974,3o9kpgkIcffx0iSwxhuNI2,169238,H,7
In A Minute,Lil Baby,0.643,0.605,-5.968,0.297,0.0336,0.0,0.112,0.145,84.216,3ihIZrJreMJPjQdNLrEXnP,200471,H,4
Last Night Lonely,Jon Pardi,0.646,0.816,-2.65,0.0269,0.00496,0.0,0.179,0.865,102.972,3SeeaIXnrCfT88vHVCRWHl,181991,H,7
Cold Heart (PNAU Remix),Elton John & Dua Lipa,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735,H,7
Efecto,Bad Bunny,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,213061,H,8
Rock And A Hard Place,Bailey Zimmerman,0.582,0.568,-7.3,0.0275,0.577,0.0,0.105,0.394,121.991,4686eQ81DEswHa90bcdlC9,207541,H,1
Sticky,Drake,0.853,0.495,-14.63,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4rmVZajAF7PkrCagGPHbqa,243228,H,1
Something In The Orange,Zach Bryan,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,H,1
Provenza,Karol G,0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200,H,7
Get Into It (Yuh),Doja Cat,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0W6I02J9xcqK8MtSeosEXb,138293,H,7
Betty (Get Money),Yung Gravy,0.723,0.772,-6.784,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4cacyP5c3PMlfnyjpg13xW,146471,H,7
Son Of A Sinner,Jelly Roll,0.365,0.541,-7.489,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,25VQoiuyc0HkC5FQTj1a8G,232093,H,8
Never Get Over Me,Rod Wave,0.689,0.626,-10.224,0.065,0.21,0.0,0.109,0.453,157.954,5sRUXYW5XqkHpGUjNIaU1W,170127,H,7
Super Gremlin,Kodak Black,0.825,0.414,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993,4A8cWXxKfIL3lAyUDzXbCF,200548,H,8
Sweet Little Lies,Rod Wave,0.656,0.679,-8.594,0.0598,0.014,0.0,0.101,0.27,159.978,0qjoeS8gwEFqf0ju66ledI,174750,H,0
Take My Name,Parmalee,0.559,0.66,-4.143,0.0512,0.222,0.0,0.193,0.574,163.957,2afB4eV1KWBqLqFqME6PTh,157907,H,0
Hot Shit,"Cardi B, Ye & Lil Durk",0.878,0.685,-5.28,0.225,0.00152,0.0,0.0753,0.523,157.003,3uJFmluXzYedoJcvhpC1AW,211649,H,4
Damn Strait,Scotty McCreery,0.523,0.64,-6.15,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,4jp9FimhP2bQ93vR0A5r7b,230227,H,0
Bad Decisions,"benny blanco, BTS & Snoop Dogg",0.762,0.861,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,0xzI1KAr0Yd9tv8jlIk3sn,172714,H,7
Forever,Rod Wave,0.626,0.524,-8.987,0.0411,0.566,1.14e-05,0.103,0.451,129.996,4mChXwwU4xbiYIP7QQeLFP,214186,H,1
Bones,Imagine Dragons,0.773,0.742,-3.678,0.046,0.0206,0.0,0.0754,0.571,114.071,0HqZX76SFLDz2aW8aiqi7G,165265,H,7
