song,artist
Super Freaky Girl,Nicki Minaj
As It Was,Harry Styles
About Damn Time,Lizzo
Break My Soul,Beyonce
Running Up That Hill (A Deal With God),Kate Bush
Bad Habit,Steve Lacy
Sunroof,Nicky Youre & dazy
Wait For U,Future Featuring Drake & Tems
Me Porto Bonito,Bad Bunny & Chencho Corleone
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Late Night Talking,Harry Styles
First Class,Jack Harlow
Heat Waves,Glass Animals
The Kind Of Love We Make,Luke Combs
You Proof,Morgan Wallen
Titi Me Pregunto,Bad Bunny
I Ain't Worried,OneRepublic
She Had Me At Heads Carolina,Cole Swindell
Wasted On You,Morgan Wallen
Stay,The Kid LAROI & Justin Bieber
Alone,Rod Wave
Jimmy Cooks,Drake Featuring 21 Savage
Staying Alive,DJ Khaled Featuring Drake & Lil Baby
Big Energy,Latto
Vegas,Doja Cat
Moscow Mule,Bad Bunny
Glimpse Of Us,Joji
Ghost,Justin Bieber
Like I Love Country Music,Kane Brown
Shivers,Ed Sheeran
Fall In Love,Bailey Zimmerman
5 Foot 9,Tyler Hubbard
Numb Little Bug,Em Beihold
In A Minute,Lil Baby
Yungen,Rod Wave Featuring Jack Harlow
Last Night Lonely,Jon Pardi
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Efecto,Bad Bunny
Rock And A Hard Place,Bailey Zimmerman
Left And Right,Charlie Puth Featuring Jung Kook
Sticky,Drake
Something In The Orange,Zach Bryan
Provenza,Karol G
Get Into It (Yuh),Doja Cat
Betty (Get Money),Yung Gravy
Son Of A Sinner,Jelly Roll
Numb,Marshmello & Khalid
Never Get Over Me,Rod Wave
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Super Gremlin,Kodak Black
Sweet Little Lies,Rod Wave
Take My Name,Parmalee
F.N.F. (Let's Go),Hitkidd & GloRilla
Hot Shit,"Cardi B, Ye & Lil Durk"
Party,Bad Bunny & Rauw Alejandro
Damn Strait,Scotty McCreery
Bad Decisions,"benny blanco, BTS & Snoop Dogg"
Forever,Rod Wave
Ojitos Lindos,Bad Bunny & Bomba Estereo
Bones,Imagine Dragons
So Good,Halsey
Her,Megan Thee Stallion
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
Victoria’s Secret,Jax
Despues de La Playa,Bad Bunny
Stone Rolling,Rod Wave
Alien Superstar,Beyonce
Unstoppable,Sia
Free Mind,Tems
Wishful Drinking,Ingrid Andress With Sam Hunt
No Deal,Rod Wave
Dah Dah DahDah,Nardo Wick
Whiskey On You,Nate Smith
I Know It,Rod Wave
Last Last,Burna Boy
Tarot,Bad Bunny & Jhay Cortez
With A Woman You Love,Justin Moore
At The End Of A Bar,Chris Young With Mitchell Tenpenny
Truth About You,Mitchell Tenpenny
Pressurelicious,Megan Thee Stallion Featuring Future
Cuff It,Beyonce
Ungrateful,Megan Thee Stallion Featuring Key Glock
Pick Me Up,Gabby Barrett
She Likes It,Russell Dickerson & Jake Scott
Despecha,Rosalia
Pieces,Rod Wave
Budget,Megan Thee Stallion Featuring Latto
Ghost Story,Carrie Underwood
Cooped Up,Post Malone Featuring Roddy Ricch
Rockstar Heart,Rod Wave
Puffin On Zootiez,Future
Until I Found You,Stephen Sanchez
Plan B,Megan Thee Stallion
Thought You Should Know,Morgan Wallen
Time Kills (Love Birds),Rod Wave
Fading,Rod Wave
Church Girl,Beyonce
Un Ratito,Bad Bunny
La Corriente,Bad Bunny & Tony Dize
What My World Spins Around,Jordan Davis
